title_id,movie,drama,animation,2nd,num_extended,extended,novel_original,title,author,author_works,episode,complete,age,days_since_start,like_count,story_cleaned,hashtag,avg_like_count,avg_star,avg_participants,avg_comment_count,avg_best_comment_like
785855,0,0,0,0,0,0,0,짝사랑 마들렌,미이,2,70,1,0,1226,35153,거리 걸치다 기억 달달 달콤 로맨스 멀리 바라 오라 성격 아련 워커홀릭 원래 이렇다 지아 짝사랑 첫사랑 취미 클래스 파트너 풋풋 프로젝트,로맨스 짝사랑,3387.8,9.94,3328.2,156.4,895.79
679568,0,0,0,0,0,0,0,마이너스의 손,김뎐,1,176,1,0,3204,173145,지면 소년 오른손,판타지 액션판타지 이능력 소년물 액션 성장물 최강자전 2015 소년왕도물,28475.2,9.97,43924,7127.4,23843.29
812168,0,0,0,0,0,0,0,강아지는 멍멍하고 짖지 않아!,얄라리,1,111,1,0,685,30386,강아지 권태 만나다 맵다 반려 생활 나다 이상 인생 파란만장 복판 현실,일상 무해한 힐링,5382.2,9.95,3419.2,360.2,647.53
789652,0,0,0,0,0,0,0,인과관계,강환영,2,140,1,12,1186,321730,감정 고인 공포증 미인 다양 만나다 새롭다 소꿉친구 스킨십 쌓다 간다 알다 유라 관계 진정 해원,로맨스 설렘폭발 청춘 사연남 공식미녀 철벽녀 인소감성 성장물 햇살캐 러블리 폭스남 짝사랑 힐링 학원로맨스 청춘로맨스 친구>연인 삼각관계,16412.2,9.96,11167.4,518,3772.54
776669,0,0,0,0,0,0,0,빨간맛 로맨스,"사지현,서루",4,61,1,0,1380,129283,감소 계속 깨닫다 나무 달라 달콤 도윤 등장 만큼 먹방 몸무게 뭔가 뱀파이어 본능 부탁 새롭다 시간 시절 어리다 이끌다 점점 좋아 지나다 차다 체중 친구 피다 필요 하리 흡혈 해달라다,로맨스 학원로맨스 뱀파이어,14280.4,9.95,9950.8,1113.6,2929.03
796062,0,0,0,0,0,0,0,좀간,"옹구,다이",5,109,1,15,1060,202439,건네다 나타나다 사회 살기 살리다 소년 미래 위해 유일 제안 죽다 죽여주다 죽음 치다 대가,액션,15714.8,9.93,10999.2,795.4,3546.88
733413,0,0,0,0,0,0,0,천리마 네버다이,김규삼,18,4,1,0,2071,16333,기념 드라마 마트 멤버 반갑다 새롭다 싸다 천리마 특별 외전,개그 무료,8597.25,9.95,14686.5,947.75,4011.05
714886,0,0,0,0,0,0,0,신을 죽이는 방법,"나락,바밤",11,89,1,12,2469,141094,마지막 믿음 사라지다 시대 신화,판타지,23283.2,9.96,26159.2,2641,11474.49
632342,0,0,0,0,0,0,0,오늘 밤은 어둠이 무서워요,김진,10,52,1,0,3883,295970,김진 독립 생활 시기 시작 연애 자취,일상,27577.8,9.96,74838,5811.8,9977.99
462900,0,0,0,0,0,0,0,한줌물망초,혜진양,5,96,1,0,4770,100208,기억 나르다 믿다 전생,판타지,3260.2,9.94,21401.4,2434.4,1052.88
